A1143033001 蔡志偉
A1143033002 黃怡明
A1143033003 吳華婷
A1143033004 陳俊婷
A1143033005 楊宏偉
A1143033006 陳豪偉
A1143033007 吳豪婷
A1143033008 張怡靜
A1143033009 王偉冠
A1143033010 林靜雯
A1143033011 陳明豪
A1143033012 陳雯宏
A1143033013 楊婷雯
A1143033014 張怡傑
A1143033015 楊華靜
A1143033016 黃華冠
A1143033017 林文婷
A1143033018 楊佳傑
A1143033019 劉雯怡
A1143033020 王文華
A1143033021 楊華冠
A1143033022 張明婷
A1143033023 黃怡文
A1143033024 楊軒雯
A1143033025 楊怡軒
A1143033026 劉怡佳
A1143033027 楊俊怡
A1143033028 楊君宇
A1143033029 吳偉靜
A1143033030 張婷君
A1143033031 黃宇冠
A1143033032 楊華婷
A1143033033 蔡偉佳
A1143033034 蔡志豪
A1143033035 劉怡靜
A1143033036 吳志怡
A1143033037 陳明傑
A1143033038 陳志軒
A1143033039 蔡華佳
A1143033040 張雯豪
A1143033041 王傑宇
A1143033042 蔡偉君
A1143033043 楊靜雯
A1143033044 張豪怡
A1143033045 林偉怡
A1143033046 劉婷偉
A1143033047 劉君宏
A1143033048 劉宇冠
A1143033049 林佳怡
A1143033050 陳偉婷
